zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
53001,STANDARD,0,Adell,,,WI,Sheboygan County,America/Chicago,920,NA,US,0,0,1840
53002,STANDARD,0,Allenton,,,WI,Washington County,America/Chicago,262,NA,US,0,0,2300
53003-1234,PO BOX,0,Ashippun,,,WI,Dodge County,America/Chicago,920,NA,US,43.21,-88.51,246
53004,STANDARD,0,Belgium,,,WI,Ozaukee County,America/Chicago,262,NA,US,43.5,-87.85,3430
53005,STANDARD,0,Brookfield,,,WI,Waukesha County,America/Chicago,"262,414,920",NA,US,43.06,-88.11,20240
53006,STANDARD,0,Brownsville,"Byron, South Byron",,WI,Dodge County,America/Chicago,,NA,US,43.61,-88.49,1770
53007,STANDARD,0,Butler,,,WI,Waukesha County,America/Chicago,262,NA,US,43.1,-88.07,1620
53008,PO BOX,0,Brookfield,,,WI,Waukesha County,America/Chicago,262,NA,US,43.06,-88.11,317
53010,STANDARD,0,Campbellsport,,,WI,Fond du Lac County,America/Chicago,920,NA,US,43.59,-88.28,7110
